Engine;Device Type;Iteration;Patch generator AVG;Patch generator STD;NN input AVG;NN input STD;NN inference AVG;NN inference STD;NN output AVG;NN output STD;Patch stitcher AVG;Patch stitcher STD;Total
TensorFlowCUDA;ANY0;1;21.152223;4.676620;1.304389;1.716399;23.311894;20.893896;0.028890;0.005249;0.016615;0.003481;118732.664062
TensorFlowCUDA;ANY0;2;21.181403;4.805658;1.323813;1.856796;23.342701;20.786924;0.029795;0.005228;0.016576;0.003376;118998.820312
TensorFlowCUDA;ANY0;3;21.083446;4.546288;1.324378;1.502726;23.067101;20.775782;0.030273;0.004833;0.016922;0.002999;117678.000000
TensorFlowCUDA;ANY0;4;21.460494;6.125510;1.478985;3.776067;23.343414;20.568058;0.031052;0.005605;0.016729;0.003534;119761.382812
TensorFlowCUDA;ANY0;5;21.228870;4.941736;1.348788;1.560254;23.334319;20.778845;0.030615;0.005016;0.016982;0.003100;119090.046875
TensorFlowCUDA;ANY0;6;21.262644;4.925810;1.325957;1.785904;23.295000;20.918887;0.030398;0.005444;0.016788;0.003358;118763.414062
TensorFlowCUDA;ANY0;7;21.197346;4.695304;1.349895;1.798864;23.264208;20.948776;0.030586;0.005421;0.016803;0.003215;118736.585938
TensorFlowCUDA;ANY0;8;21.156087;4.633918;1.290241;1.646926;23.362112;20.719393;0.030446;0.005502;0.016605;0.003423;118940.359375
TensorFlowCUDA;ANY0;9;21.263109;5.529628;1.461268;3.349203;23.340035;20.763166;0.030439;0.005870;0.016774;0.003402;119640.164062
TensorFlowCUDA;ANY0;10;21.148487;4.680228;1.249921;1.298662;23.217815;20.800191;0.031515;0.005693;0.017060;0.003445;118081.296875
OpenVINO;CPU;1;28.507343;6.718882;1.184515;0.976598;49.884334;4.439777;0.019256;0.001957;0.011064;0.000987;244972.328125
OpenVINO;CPU;2;28.234072;6.506002;1.210039;1.111336;49.927960;4.495920;0.019426;0.001428;0.011093;0.001006;245272.546875
OpenVINO;CPU;3;28.324488;6.611706;1.248172;1.301832;50.002844;4.389851;0.019665;0.001391;0.011153;0.001063;245825.109375
OpenVINO;CPU;4;28.486397;6.717383;1.207426;1.084788;49.912230;4.403677;0.019210;0.001368;0.011042;0.000994;245194.484375
OpenVINO;CPU;5;28.250106;7.087694;1.302166;2.612204;49.988856;4.733816;0.019308;0.001448;0.010986;0.001190;246039.921875
OpenVINO;CPU;6;28.227431;6.551945;1.209008;1.142440;49.781802;4.434358;0.019774;0.031284;0.011033;0.001196;244606.859375
OpenVINO;CPU;7;28.521415;6.640575;1.215207;1.122664;49.903770;4.481160;0.019409;0.001420;0.011117;0.001163;245190.250000
OpenVINO;CPU;8;28.594032;7.414478;1.294318;2.504372;50.025922;4.663189;0.019121;0.001405;0.011131;0.001156;246160.750000
OpenVINO;CPU;9;28.527549;7.202787;1.289467;2.489014;49.950649;4.692804;0.019577;0.002381;0.011171;0.001281;245781.359375
OpenVINO;CPU;10;28.500049;6.686982;1.229957;1.242470;49.770951;4.435407;0.019574;0.001412;0.010972;0.001094;244642.812500
TensorFlowCPU;ANY;1;35.022555;6.479618;1.365078;2.530969;53.650116;15.256758;0.026294;0.002456;0.012249;0.001278;263819.156250
TensorFlowCPU;ANY;2;34.970142;5.847124;1.292189;1.644990;53.558007;15.143980;0.027420;0.001823;0.012073;0.001291;263057.093750
TensorFlowCPU;ANY;3;34.895337;5.874214;1.281757;1.568845;53.597330;15.058255;0.026643;0.003401;0.012215;0.001235;263163.875000
TensorFlowCPU;ANY;4;34.891460;5.806382;1.270535;1.476728;53.607440;15.181980;0.024489;0.003518;0.012151;0.001204;263153.343750
TensorFlowCPU;ANY;5;34.887790;5.838488;1.271275;1.493641;53.492988;15.110629;0.026323;0.001937;0.012005;0.001269;262631.250000
TensorFlowCPU;ANY;6;34.882791;5.824915;1.257366;1.416054;53.448174;15.158452;0.025729;0.001884;0.012080;0.001159;262346.968750
TensorFlowCPU;ANY;7;34.895590;5.873152;1.292211;1.682460;53.490030;15.210627;0.027184;0.001978;0.012237;0.001262;262708.562500
TensorFlowCPU;ANY;8;35.041138;6.339147;1.354826;2.555098;53.495318;14.896274;0.024052;0.004755;0.012131;0.001350;263016.843750
TensorFlowCPU;ANY;9;34.914599;5.887475;1.303617;1.740554;53.525017;14.971938;0.027392;0.001806;0.012156;0.001280;262960.593750
TensorFlowCPU;ANY;10;34.898209;5.856881;1.291737;1.597659;53.478900;14.959480;0.026877;0.001789;0.012203;0.001346;262649.468750
